gmdn,emdn,deviceproblem,patientproblem
35224,C010103,A12,E24
35224,C010103,A12,F27
35224,C010103,A23,E24
35280,L26,A01,E20
35280,L26,A01,E23
35280,L26,A01,E24
35280,L26,A02,E23
35280,L26,A04,E23
35280,L26,A04,E24
35280,L26,A05,E20
35280,L26,A05,E23
35280,L26,A05,E24
35280,L26,A14,E23
35280,L26,A24,E19
35280,L26,A24,E20
35280,L26,A24,E23
35280,L26,A26,E19
35280,L26,A26,E20
35280,L26,A26,E23
35281,H90020103,A04,E24
35281,H90020103,A04,F26
35281,H90020103,A05,E24
35297,L0102,A04,E20
35297,L0102,A04,E24
35297,L0102,A15,E20
35326,B0399,A04,E24
35326,B0399,A04,F26
35326,B0399,A05,E24
35326,B0399,A07,E24
35326,B0399,A07,F26
35326,B0399,A09,E24
35326,B0399,A12,E24
35326,B0399,A14,E24
35429,H90020103,A02,E24
35440,B0399,A16,E24
35441,L0104110101,A05,E24
35446,A019013,A05,E20
35461,L0606030101,A04,E24
